sentence,entities,country_entities
"At this moment, Italy, under Benito Mussolini , declared war on the Allies on 10 June, thinking that the war was almost over, but he managed only to occupy a few hundred yards of French territory.  ","['Italy', 'Benito Mussolini', '10 June', 'a few hundred yards', 'French']",['Italy']
"55  Throughout the war, the Italians would be more of a burden to the Nazis than a boon, and would later cost them precious time in Greece.  ","['55', 'Italians', 'Nazis', 'Greece']",['Greece']
"The British at first suffered steady losses, but eventually managed to turn the air war against Germany, taking down 2,698 German planes throughout the summer of 1940 to only 915 Royal Air Force RAF losses.  ","['British', 'first', 'Germany', '2,698', 'German', 'the summer of 1940', '915', 'Royal Air Force', 'RAF']",['Germany']
"However, a proallied coup in Yugoslavia and Mussolinis almost utter defeat in his invasion of Greece from occupied Albania prompted Hitler to launch a personal campaign of revenge in Yugoslavia and to occupy Greece at the same time.  ","['Yugoslavia', 'Mussolinis', 'Greece', 'Albania', 'Hitler', 'Yugoslavia', 'Greece']","['Greece', 'Albania', 'Greece']"
"66  Throughout 1941, German forces, divided into 3 army groups Army Group A, Army Group B, and Army Group C, occupied the territories of the present day Ukraine and Belarus , laid siege to Leningrad present day Saint Petersburg, and advanced to within 15 miles of Moscow.","['66', '1941', 'German', '3', 'Army Group', 'Army Group', 'Army Group C', 'Ukraine', 'Belarus', 'Leningrad', 'Saint Petersburg', '15 miles', 'Moscow']","['Ukraine', 'Belarus']"
67  Mussolini had launched an offensive in North Africa from Italiancontrolled Libya into Britishcontrolled Egypt.,"['67', 'Mussolini', 'North Africa', 'Italiancontrolled', 'Libya', 'Britishcontrolled', 'Egypt']","['Libya', 'Egypt']"
"However, the British smashed the Italians and were on the verge of taking Libya.","['British', 'Italians', 'Libya']",['Libya']
68  Rommel managed to use his small force to repeatedly smash massively superior British forces and to recapture the port city of Tobruk and advance into Egypt .,"['68', 'Rommel', 'British', 'Tobruk', 'Egypt']",['Egypt']
"However, Hitler, embroiled in his invasion of the Soviet Union, refused to send Rommel any more troops, causing Rommel to retreat and preventing him from seizing the Middle East , where Axisfriendly regimes had taken root in Iraq and Persia presentday Iran .  ","['Hitler', 'the Soviet Union', 'Rommel', 'Rommel', 'the Middle East', 'Iraq', 'Persia', 'Iran']","['Iraq', 'Iran']"
"Parts of the German brass advised against declaring war on the US, arguing that since Japan was the aggressor, the Tripartite Pact didnt bind Germany to do so.","['German', 'US', 'Japan', 'the Tripartite Pact', 'Germany']","['Japan', 'Germany']"
"However, Hitler hoped that Japan would be able to quickly defeat the US and then turn its attention on helping the effort against Russia.","['Hitler', 'Japan', 'US', 'Russia']","['Japan', 'Russia']"
Both Germany and Italy declared war on the United States a few days after the attack.  ,"['Germany', 'Italy', 'the United States', 'a few days']","['Germany', 'Italy']"
"73  By this time, Rommel had been forced to abandon North Africa after a defeat by Montgomery at El Alamein in what was the first decisive victory of the Allies over the Germany army, leading Churchill to declare it  the end of the beginning .  ","['73', 'Rommel', 'North Africa', 'Montgomery', 'El Alamein', 'first', 'Germany', 'Churchill']",['Germany']
"They drove out the Germans in Africa, invading Morocco and Algeria on 8 November 1942.  ","['Germans', 'Africa', 'Morocco', 'Algeria', '8 November 1942']","['Morocco', 'Algeria']"
"Then, on 10 July 1943, the Allies invaded Sicily , in preparation for an advance through Italy, the soft underbelly of the Axis, as Winston Churchill called it.","['10 July 1943', 'Sicily', 'Italy', 'Axis', 'Winston Churchill']",['Italy']
"On 9 September, the invasion of Italy began.  ","['9 September', 'Italy']",['Italy']
"77  By the winter of 1943, the southern half of Italy was in Allied hands.","['77', 'the winter of 1943', 'half', 'Italy', 'Allied']",['Italy']
"On 8 September, the Italians formally surrendered,  78  but most of Italy not in Allied hands was controlled by German troops and those loyal to Mussolinis Mussolini had been freed by German paratroopers new Italian Social Republic , which in reality consisted of the shrinking zone of German control.","['8 September', 'Italians', '78', 'Italy', 'Allied', 'German', 'Mussolinis Mussolini', 'German', 'Italian Social Republic', 'German']",['Italy']
"Rommel, who was now in charge of defending France against possible Allied attack, thought the Allies would not attack during the stormy weather, and was on holiday in Germany.  ","['Rommel', 'France', 'Allied', 'Germany']","['France', 'Germany']"
"By this time, the war was looking ever darker for Germany.",['Germany'],['Germany']
85  In France,"['85', 'France']",['France']
"The west went to Britain, France, and the U.S. Postwar Germany would be split between the four, as would Berlin.","['Britain', 'France', 'the U.S. Postwar Germany', 'four', 'Berlin']",['France']
"The Soviets launched a devastating attack from Poland into Germany and Eastern Europe, intending to take Berlin.","['Soviets', 'Poland', 'Germany', 'Eastern Europe', 'Berlin']","['Poland', 'Germany']"
"The Germans collapsed in the West, allowing the Allies to fan out across Germany.","['Germans', 'West', 'Germany']",['Germany']
"However, the Supreme Allied Commander, American general Dwight D. Eisenhower , refused to strike for Berlin, and instead became obsessed with reports of possible guerrilla activity in southern Germany, which in reality existed mainly in the propaganda of Joseph Goebbels.  ","['the Supreme Allied Commander', 'American', 'Dwight D. Eisenhower', 'Berlin', 'Germany', 'Joseph Goebbels']",['Germany']
94  Japan then used this as pretext to invade northeastern China the next day and turn the region of Manchuria into the Japanese puppet state of Manchukuo .  ,"['94', 'Japan', 'China', 'the next day', 'Manchuria', 'Japanese', 'Manchukuo']",['Japan']
"After the League of Nations commissioned the 1932 Lytton Report , which exposed the Mukden Incident as a Japanese ruse, Japan was left internationally isolated, withdrawing from the League of Nations in March 1933.","['the League of Nations', '1932', 'Lytton Report', 'the Mukden Incident', 'Japanese', 'Japan', 'the League of Nations', 'March 1933']",['Japan']
"In 1934 Manchukuo became a constitutional monarchy and the former Chinese Emperor Pu Yi was placed on the throne, despite the real power being held by Japan.  ","['1934', 'Manchukuo', 'Chinese', 'Pu Yi', 'Japan']",['Japan']
"96  Despite relations between Japan and China suffering because the occupation of Manchuria, the situation did not turn into allout war until 7 July 1937, when a dispute between Chinese and Japanese soldiers turned into a battle during the Marco Polo Bridge Incident .  ","['96', 'Japan', 'China', 'Manchuria', '7 July 1937', 'Chinese', 'Japanese', 'the Marco Polo Bridge Incident']",['Japan']
"98  Japan enjoyed some early major victories, capturing both Shanghai and the Chinese capital of Nanjing in 1937 and forcing the Chinese central government s relocation to Chongqing .","['98', 'Japan', 'Shanghai', 'Chinese', 'Nanjing', '1937', 'Chinese', 'Chongqing']",['Japan']
"Following Chinese victories in Changsha and Guangxi in 1939, the war reached somewhat of a stalemate, with Japan controlling the large cities, but being unable to rule the vast countryside.  ","['Chinese', 'Changsha', 'Guangxi', '1939', 'Japan']",['Japan']
"99  On 27 September 1940, Japan became cosignatories of the Tripartite Pact , joining a military alliance with Germany and Italy.  ","['99', '27 September 1940', 'Japan', 'the Tripartite Pact', 'Germany', 'Italy']","['Japan', 'Germany', 'Italy']"
"100  Japanese Expansion  edit  USS West Virginia during the attack on Pearl Harbor On 7 December 1941, Japan launched a surprise attack on the American base at Pearl Harbor as a mean of preventing the U.S. Pacific Fleet from interfering with its planned expansion in the area.  ","['100  ', 'Japanese', 'USS West Virginia', 'Pearl Harbor', '7 December 1941', 'Japan', 'American', 'Pearl Harbor', 'the U.S. Pacific Fleet']",['Japan']
"The next day, following Roosevelts Infamy Speech , the United States declared war on Japan, marking the official entry of both nations in World War 2.  102   103  At the same time, Japan also launched attacks on Thailand , the British colonies of Malaya , Singapore , Hong Kong and American military bases in Guam , Wake Island and the Philippines .  ","['next day', 'Roosevelts Infamy Speech', 'the United States', 'Japan', 'World War 2', '102', '103', 'Japan', 'Thailand', 'British', 'Malaya', 'Singapore', 'Hong Kong', 'American', 'Guam', 'Wake Island', 'Philippines']","['Japan', 'Japan', 'Thailand', 'Singapore', 'Philippines']"
"Japan managed to capture British Burma , New Guinea , the Dutch East Indies , the Solomon Islands , Bali and Timor .  ","['Japan', 'British Burma', 'New Guinea', 'the Dutch East Indies', 'the Solomon Islands', 'Bali', 'Timor']",['Japan']
"105  In March 1942, days before the surrender of the Philippines, general Douglas MacArthur, who came out of retirement to become commander of United States Army Forces in the Far East at the onset of the war, was forced to flee and narrowly escape to Australia.  ","['105', 'March 1942, days', 'Philippines', 'Douglas MacArthur', 'United States Army Forces', 'the Far East', 'Australia']","['Philippines', 'Australia']"
"106  On 19 February 1942, Japan also launched a devastating aerial attack on the Australian city of Darwin, in what was the first attack by a foreign power on Australian soil.  ","['106', '19 February 1942', 'Japan', 'Australian', 'Darwin', 'first', 'Australian']",['Japan']
"The losses suffered during this Battle of Midway, paired with the campaign of attrition that was taking place in Solomon Islands , left Japan unable to replenish its forces and turned the tides of war against it.","['this Battle of Midway', 'Solomon Islands', 'Japan']","['Solomon Islands', 'Japan']"
"111  Allied offensive  edit  A map of the Japanese advance from 1937 to 1942 Over the next two years the Allies slowly captured one island base after another, trying to get closer to Japan itself, where it planned to launch massive strategic air attacks and, only if absolutely necessary, execute a ground invasion.","['111', 'Allied', 'Japanese', '1937 to 1942', 'the next two years', 'Allies', 'one', 'Japan']",['Japan']
"By July 1944, the US recaptured Guam and captured Tinian , which finally put them in attacking range of mainland Japan using the new Boeing B29 bombers.  ","['July 1944', 'US', 'Guam', 'Tinian', 'Japan', 'Boeing B29']",['Japan']
"Despite the advances of the Allies, massive fighting was still taking place, both in SouthEast Asia with the Japanese offensive in India and in the Pacific, with the Battle of the Philippine Sea , where Japan suffered major losses and definitively lost the ability to rely on aircraft carriers .  ","['SouthEast Asia', 'Japanese', 'India', 'Pacific', 'the Battle of the Philippine Sea', 'Japan']","['India', 'Japan']"
"Capturing the island meant not only a better launch station for aerial attacks against mainland Japan, but also the prevention of its use as an earlywarning station against air raids.",['Japan'],['Japan']
"119  With Japan struggling to defend the homeland islands, counteroffensives in other parts of the Japanese Empire became more feasible, with important battles taking place in Burma , Borneo and China .","['119', 'Japan', 'the Japanese Empire', 'Burma', 'Borneo', 'China']",['Japan']
"Final days  edit  The assaults on both Iwo Jima and Okinawa proved incredibly costly in terms of American lives and president Truman was horrified at the prospect of Operation Downfall, a planned bootsontheground invasion of mainland Japan that was estimated to lead to over a million casualties among American soldiers.  ","['days', 'Iwo Jima', 'Okinawa', 'American', 'Truman', 'Operation Downfall', 'Japan', 'over a million', 'American']",['Japan']
"Following the Potsdam Declaration of 26 July, where the Allies threatened prompt and utter destruction should Japan not surrender,  124  the decision was made to resort to the first use of atomic bombs .","['the Potsdam Declaration', '26 July', 'Allies', 'Japan', '124', 'first']",['Japan']
"After the conquest of Poland, the Third Reich , which had previously deported Jews and other undesirables, suddenly had within its borders the largest concentration of Jews in the world.","['Poland', 'Jews', 'Jews']",['Poland']
"135  The Nazis created a system of extermination camps throughout Poland, and began rounding up Jews from the Soviet Union, and from the Ghettos.  ","['135', 'Nazis', 'Poland', 'Jews', 'the Soviet Union', 'Ghettos']",['Poland']
"136   137  Not only were Jews shot or gassed to death en masse, but they were forced to provide slave labor and they were used in horrific medical experiments see Human experimentation in Nazi Germany .  ","['136', '137', 'Jews', 'Nazi', 'Germany']",['Germany']
"However, Germany had surrendered in May 1945, and it had been discovered that the German atomic bomb program had not been very close to success.  ","['Germany', 'May 1945', 'German']",['Germany']
This new weapon was alone over 400 times as powerful as the weapons used against Japan.,"['over 400', 'Japan']",['Japan']
"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today the United States , the Soviet Union and later Russia would inherit these, the United Kingdom , France , China , India , Pakistan , Israel and North Korea .  ","['nine', 'today', 'the United States', 'the Soviet Union', 'Russia', 'the United Kingdom', 'France', 'China', 'India', 'Pakistan', 'Israel', 'North Korea']","['Russia', 'France', 'India', 'Pakistan', 'Israel']"
"159  South Africa developed six crude weapons in the 1980s which it later dismantled,  160  and Israel almost certainly developed nuclear weapons though it never confirmed nor denied it.  ","['159', 'South Africa', 'six', 'the 1980s', '160', 'Israel']","['South Africa', 'Israel']"
"161  The creation of the Nuclear Nonproliferation Treaty in 1968 was an attempt to curtail such proliferation,  162  but a number of countries developed nuclear weapons since it was signed and many did not sign it, and several other countries, including Libya and Iran were suspected of having clandestine nuclear weapons programs.  ","['161', 'the Nuclear Nonproliferation Treaty', '1968', '162', 'Libya', 'Iran']","['Libya', 'Iran']"
"Germany, chief instigator of the war, was placed under joint military occupation by the United States, Great Britain, France, and the Soviet Union.","['Germany', 'the United States', 'Great Britain', 'France', 'the Soviet Union']","['Germany', 'France']"
"Japan was also placed under U.S. occupation, that would last seven years, until 1952.  ","['Japan', 'U.S.', 'last seven years', '1952']",['Japan']
"168  Oddly, these two Axis powers, despite military occupation, soon rose to become the second Japan and third West Germany most powerful economies in the world.  ","['two', 'second', 'Japan', 'third', 'West Germany']",['Japan']
"The end of empires decolonization  edit  Michael Somare , the first leader of an independent Papua New Guinea .","['Michael Somare', 'first', 'Papua New Guinea']",['Papua New Guinea']
"In India, Mahatma Gandhi became a global icon for his nonviolent struggle to achieve Indian independence whereas Mohamed Ali Jinnah advocated for the independence of a separate state for Muslims.","['India', 'Mahatma Gandhi', 'Indian', 'Mohamed Ali Jinnah', 'Muslims']",['India']
"This was achieved in 1947 with the end of British rule in India and the Partition of the territory into modernday India and Pakistan , which would later also further divide, leading to the creation of the Peoples Republic of Bangladesh in 1971.  ","['1947', 'British', 'India', 'the Partition of the', 'India', 'Pakistan', 'the Peoples Republic of Bangladesh', '1971']","['India', 'India', 'Pakistan']"
"175   176  Elsewhere in Asia, The United States granted independence to the Philippines , its major Pacific possession in 1946.  ","['175', '176', 'Asia', 'The United States', 'Philippines', 'Pacific', '1946']",['Philippines']
"177  In French Indochina , armed insurrections forced the French out in the early 1950s, leading to the formation of Laos , Cambodia and Vietnam .  ","['177', 'French', 'Indochina', 'French', 'the early 1950s', 'Laos', 'Cambodia', 'Vietnam']","['Laos', 'Cambodia', 'Vietnam']"
", nationalists such as Jomo Kenyatta of Kenya and Kwame Nkrumah of Ghana led their respective nations to independence from foreign rule.  ","['Jomo Kenyatta', 'Kenya', 'Kwame Nkrumah', 'Ghana']","['Kenya', 'Ghana']"
"179  Mere decades before, the British Empire controlled almost half of the continent, but by 1968, the only British possession in Africa was Seychelles which would also become independent in 1976.","['179  Mere decades', 'British Empire', 'almost half', '1968', 'British', 'Africa', 'Seychelles', '1976']",['Seychelles']
"Between 1956 and 1962, almost 20 African countries achieved their independence from France.  ","['Between 1956 and 1962', 'almost 20', 'African', 'France']",['France']
"Eastern Poland  incorporated into the Byelorussian SSR and the Ukrainian SSR ,  189  Latvia which became the Latvian SSR , Estonia which became the Estonian SSR , Lithuania  which became the Lithuanian SSR ,  190  part of eastern Finland which became the KareloFinnish SSR   191  and eastern Romania part of which became the Moldavian SSR   192  were now wholly part of Soviet Union.","['Eastern Poland', '189', 'Latvia', 'the Latvian SSR', 'Estonia', 'Estonian', 'Lithuania', 'the Lithuanian SSR', '190', 'Finland', '191', 'Romania', 'Moldavian', '192', 'Soviet Union']","['Latvia', 'Estonia', 'Lithuania', 'Finland', 'Romania']"
"Furthermore, between 1945 and 1949, Yugoslavia , Albania , Bulgaria , Poland , Romania , Czechoslovakia , Hungary and East Germany saw communist regimes coming to power and their transformation into Peoples Republics .  ","['between 1945 and 1949', 'Yugoslavia', 'Albania', 'Bulgaria', 'Poland', 'Romania', 'Czechoslovakia', 'Hungary', 'East Germany', 'Peoples Republics']","['Albania', 'Bulgaria', 'Poland', 'Romania', 'Hungary']"
"Outside of Europe, countries that would see the rise of communism and would ally themselves to the communist bloc include Mongolia , China, North Korea , Cuba and Vietnam .  ","['Europe', 'communist', 'Mongolia', 'China', 'North Korea', 'Cuba', 'Vietnam']","['Mongolia', 'Cuba', 'Vietnam']"
"200  General Douglas MacArthur led troops from the United States, Canada, Australia, Great Britain, and other countries in repulsing the Northern invasion.","['200', 'Douglas MacArthur', 'the United States', 'Canada', 'Australia', 'Great Britain']","['Canada', 'Australia']"
"After the French withdrawal from its former colony, on 21 July 1954, Vietnam became partitioned into two halves, much like Korea, along the 17th parallel .","['French', '21 July 1954', 'Vietnam', 'two', 'Korea', 'the 17th']",['Vietnam']
"The plan went awry, with Nixon  deliberately sabotaging peace talks for political gain,  207  and the war spilled into neighboring Cambodia while South Vietnamese forces were pushed further back.  ","['Nixon', '207', 'Cambodia', 'South Vietnamese']",['Cambodia']
"Saigon was captured on 30 April 1975, and Vietnam was unified under Communist rule a year later, effectively bringing an end to one of the most unpopular wars of all time.  210   211  The Cuban Missile Crisis illustrates just how close to the brink of nuclear war the world came during the Cold War .","['Saigon', '30 April 1975', 'Vietnam', 'Communist', 'a year later', 'one', '210', '211', 'The Cuban Missile Crisis', 'the Cold War']",['Vietnam']
"Cuba , under Fidel Castro s socialist government, had formed close ties with the Soviet Union .  ","['Cuba', 'Fidel Castro', 'the Soviet Union']",['Cuba']
"Main article Space Race With Cold War tensions running high, the Soviet Union and United States took their rivalry to the stars in 1957 with the Soviet launch of Sputnik .  ","['Cold War', 'the Soviet Union', 'United States', '1957', 'Soviet', 'Sputnik']",['United States']
"In the 1990s, work on the International Space Station began, and by the end of the century, while still incomplete, it was in continual use by astronauts from the United States, Europe, Russia, Japan, and Canada.  ","['the 1990s', 'the International Space Station', 'the end of the century', 'the United States', 'Europe', 'Russia', 'Japan', 'Canada']","['Russia', 'Japan', 'Canada']"
"Mikhail Gorbachev , its last leader, attempted to reform the country with glasnost and perestroika ,  230  but the formation of Solidarity ,  231  the fall of the Berlin Wall ,  232  and the breakingoff of several Soviet republics, such as Lithuania ,  233  started a slippery slope of events that culminated in a coup to overthrow Gorbachev, organized by Communist Party hardliners.","['Mikhail Gorbachev', '230', 'Solidarity', '231', 'the Berlin Wall', '232', 'Soviet', 'Lithuania', '233', 'Gorbachev', 'Communist Party']",['Lithuania']
"Boris Yeltsin , president of Russia, organized mass opposition, and the coup failed.  ","['Boris Yeltsin', 'Russia']",['Russia']
"267  The influence of China and India was also rising, as the worlds largest populations, long marginalized by the West and by their rulers, were rapidly integrating with the world economy.  ","['267', 'China', 'India', 'West']",['India']
"Meanwhile in South Africa , the apartheid came to an end and Nelson Mandela became the nations first black president, leading to the formation of a new democratic government, after having been ruled for four and a half decades of systemised racial segregation.","['South Africa', 'Nelson Mandela', 'first', 'four and a half decades']",['South Africa']
"In Rwanda , an estimated one million people were massacred in the genocide , which included targets of Tutsis and moderate Hutu and Twa people .","['Rwanda', 'an estimated one million', 'Tutsis', 'Hutu']",['Rwanda']
Hitler announces an Anschluss with Austria .,"['Hitler', 'Anschluss', 'Austria']",['Austria']
BBC  History  World Wars Invasion of Poland .,"['BBC', 'Poland']",['Poland']
Winter War Russia Invades Finland .,"['Winter War', 'Finland']",['Finland']
Why Finland allied itself with Nazi Germany  Letter .,"['Finland', 'Nazi Germany  Letter']",['Finland']
Germanys Invasion of Denmark and Norway.,"['Germanys Invasion of Denmark', 'Norway']",['Norway']
France to surrender .,['France'],['France']
Italy a burden on Hitler in World War II  World  Dunya News .,"['Italy', 'Hitler', 'World War II', 'Dunya News']",['Italy']
Italy Tried to Invade Greece in World War II.,"['Italy Tried', 'Greece', 'World War II']",['Greece']
Germany declares war on the United States .,"['Germany', 'the United States']",['Germany']
75 Years Ago The US Invasion of Italy .,['Italy'],['Italy']
"The Avalon Project Summary of the ThreePower Pact Between Germany, Italy, and Japan, Signed at Berlin, September 27, 1940 .","['The Avalon Project Summary', 'the ThreePower Pact Between Germany', 'Italy', 'Japan', 'Berlin', 'September 27, 1940']","['Italy', 'Japan']"
The Forgotten Reason Why Japan Attacked Pearl Harbor .,"['Japan', 'Pearl Harbor']",['Japan']
The United States declares war on Japan .,"['The United States', 'Japan']",['Japan']
From the Jaws of Death MacArthurs Escape from the Philippines .,"['the Jaws of Death MacArthurs Escape', 'Philippines']",['Philippines']
"Gutman, Israel 1990.","['Gutman', 'Israel', '1990']",['Israel']
Major milestones of Irans nuclear programme  Iran  Al Jazeera .,"['Irans', 'Iran', 'Al Jazeera']",['Iran']
The division of Germany  The Cold War 19451989  CVCE Website .,"['Germany', 'The Cold War 19451989', 'CVCE Website']",['Germany']
The forgotten violence that helped India break free from colonial rule .,['India'],['India']
Indian Independence Day everything you need to know about Partition between India and Pakistan 70 years on .,"['Indian', 'Partition between India', 'Pakistan', '70 years']",['Pakistan']
"The Philippines, 18981946  US House of Representatives History, Art  Archives .","['Philippines', '18981946', 'US House of Representatives History', 'Art  Archives']",['Philippines']
"The Moldovans Romania, Russia, and the Politics of Culture .","['Moldovans', 'Romania', 'Russia', 'the Politics of Culture']","['Romania', 'Russia']"
Selling Operation Passage to Freedom Dr. Thomas Dooley and the Religious Overtones of Early American Involvement in Vietnam .,"['Thomas Dooley', 'the Religious Overtones of Early American Involvement', 'Vietnam']",['Vietnam']
"Stuck in Endless Preliminaries Vietnam and the Battle of the Paris Peace Table, November 1968  January 1969 .","['Vietnam', 'the Battle of the Paris Peace Table', 'November 1968  January 1969']",['Vietnam']
AntiAmerican Behavior in the Middle East Evidence from a Field Experiment in Lebanon .,"['AntiAmerican Behavior', 'the Middle East', 'a Field Experiment', 'Lebanon']",['Lebanon']
The Rise of China and India A New Asian Drama .,"['India', 'New Asian']",['India']
